↓↓↓↓↓        TEST1        ↓↓↓↓↓ −− >NOTFOUND

Amott Quality Meats --> Census year: 2018 || Block ID: 113 || Property ID: 110689 || Base property ID: 108118 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4121 || Industry (ANZSIC4) description: Fresh Meat, Fish and Poultry Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762482, 144.9576703) || 
↓↓↓↓↓        TEST2        ↓↓↓↓↓ −− >NOTFOUND

QV Meats --> Census year: 2018 || Block ID: 113 || Property ID: 110689 || Base property ID: 108118 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4121 || Industry (ANZSIC4) description: Fresh Meat, Fish and Poultry Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762482, 144.9576703) || 
QV Meats --> Census year: 2018 || Block ID: 358 || Property ID: 109828 || Base property ID: 109828 || CLUE small area: North Melbourne || Industry (ANZSIC4) code: 4121 || Industry (ANZSIC4) description: Fresh Meat, Fish and Poultry Retailing || x coordinate: 144.95558 || y coordinate: -37.80562 || Location: (-37.80561885, 144.955585) || 
Thanh Hung Butcher --> Census year: 2018 || Block ID: 113 || Property ID: 110689 || Base property ID: 108118 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4121 || Industry (ANZSIC4) description: Fresh Meat, Fish and Poultry Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762482, 144.9576703) || 
The French Shop --> Census year: 2018 || Block ID: 113 || Property ID: 110691 || Base property ID: 108118 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4129 || Industry (ANZSIC4) description: Other Specialised Food Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762482, 144.9576703) || 
The Traditional Pasta Shop --> Census year: 2018 || Block ID: 113 || Property ID: 110691 || Base property ID: 108118 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4129 || Industry (ANZSIC4) description: Other Specialised Food Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762482, 144.9576703) || 
Polish Deli --> Census year: 2018 || Block ID: 113 || Property ID: 110691 || Base property ID: 108118 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4129 || Industry (ANZSIC4) description: Other Specialised Food Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762482, 144.9576703) || 
Gewurzhaus Herb & Spice Merchants --> Census year: 2018 || Block ID: 113 || Property ID: 110691 || Base property ID: 108118 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4129 || Industry (ANZSIC4) description: Other Specialised Food Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762482, 144.9576703) || 
The Land Of Soy & Honey --> Census year: 2018 || Block ID: 113 || Property ID: 110691 || Base property ID: 108118 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4129 || Industry (ANZSIC4) description: Other Specialised Food Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762482, 144.9576703) || 
Curds & Whey --> Census year: 2018 || Block ID: 113 || Property ID: 110691 || Base property ID: 108118 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4129 || Industry (ANZSIC4) description: Other Specialised Food Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762482, 144.9576703) || 
The Epicurean --> Census year: 2018 || Block ID: 113 || Property ID: 110691 || Base property ID: 108118 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4129 || Industry (ANZSIC4) description: Other Specialised Food Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762482, 144.9576703) || 
↓↓↓↓↓        TEST3        ↓↓↓↓↓ −− >NOTFOUND

In A Rush Espresso --> Census year: 2018 || Block ID: 44 || Property ID: 105956 || Base property ID: 105956 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.96174 || y coordinate: -37.81561 || Location: (-37.81560561, 144.9617411) || 
In A Rush Espresso --> Census year: 2018 || Block ID: 1101 || Property ID: 108973 || Base property ID: 108973 || CLUE small area: Docklands || Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.95223 || y coordinate: -37.81761 || Location: (-37.81761044, 144.9522269) || 
↓↓↓↓↓        TEST4        ↓↓↓↓↓ −− >NOTFOUND

Ithacan Philanthropic Society "The Ulysses" --> Census year: 2018 || Block ID: 84 || Property ID: 103210 || Base property ID: 103210 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 9559 || Industry (ANZSIC4) description: Other Interest Group Services n.e.c. || x coordinate: 144.96136 || y coordinate: -37.81099 || Location: (-37.81098646, 144.9613557) || 
↓↓↓↓↓       MY_TEST       ↓↓↓↓↓ −− >NOTFOUND

non exist company −− >NOTFOUND

Mars Leathers --> Census year: 2018 || Block ID: 84 || Property ID: 103208 || Base property ID: 103208 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4241 || Industry (ANZSIC4) description: Sport and Camping Equipment Retailing || x coordinate: 144.96142 || y coordinate: -37.81113 || Location: (-37.81112979, 144.9614198) || 
Vacant --> Census year: 2018 || Block ID: 82 || Property ID: 105460 || Base property ID: 105460 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95492 || y coordinate: -37.81277 || Location: (-37.81276886, 144.9549226) || 
Vacant --> Census year: 2018 || Block ID: 82 || Property ID: 105460 || Base property ID: 105460 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95492 || y coordinate: -37.81277 || Location: (-37.81276886, 144.9549226) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96743 || y coordinate: -37.81584 || Location: (-37.81583755, 144.9674252) || 
Vacant --> Census year: 2018 || Block ID: 74 || Property ID: 108094 || Base property ID: 108094 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95982 || y coordinate: -37.81208 || Location: (-37.81207875, 144.959821) || 
Vacant --> Census year: 2018 || Block ID: 16 || Property ID: 104018 || Base property ID: 104018 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96854 || y coordinate: -37.8166 || Location: (-37.81660267, 144.9685353) || 
Vacant --> Census year: 2018 || Block ID: 24 || Property ID: 102089 || Base property ID: 102089 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96327 || y coordinate: -37.81706 || Location: (-37.81705701, 144.9632686) || 
Vacant --> Census year: 2018 || Block ID: 24 || Property ID: 110762 || Base property ID: 110762 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96382 || y coordinate: -37.81663 || Location: (-37.81662772, 144.9638218) || 
Vacant --> Census year: 2018 || Block ID: 24 || Property ID: 110762 || Base property ID: 110762 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96382 || y coordinate: -37.81663 || Location: (-37.81662772, 144.9638218) || 
Vacant --> Census year: 2018 || Block ID: 24 || Property ID: 108113 || Base property ID: 108113 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96219 || y coordinate: -37.81759 || Location: (-37.81758586, 144.9621886) || 
